Using GPU 3
x: torch.Size([168, 68]), edge_index: torch.Size([2, 113]) edge_attr:  torch.Size([113, 1]) y:  tensor(989.7319)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 101]) edge_attr:  torch.Size([101, 1]) y:  tensor(57.2910)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 130]) edge_attr:  torch.Size([130, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(9186.1152)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(9110.3291)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 115]) edge_attr:  torch.Size([115, 1]) y:  tensor(1691.9233)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 108]) edge_attr:  torch.Size([108, 1]) y:  tensor(21.1791)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 133]) edge_attr:  torch.Size([133, 1]) y:  tensor(343.7691)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 109]) edge_attr:  torch.Size([109, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(97.4890)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 133]) edge_attr:  torch.Size([133, 1]) y:  tensor(2881.7595)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 142]) edge_attr:  torch.Size([142, 1]) y:  tensor(14257.6914)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 109]) edge_attr:  torch.Size([109, 1]) y:  tensor(25.5898)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(241.7162)
